time,seconds_elapsed,dBFS
1780625915234000000,0.005999755859375,-18.05357551574707
1780625915341000000,0.113,-19.05965805053711
1780625915458000000,0.229999755859375,-19.727293014526367
1780625915574000000,0.346000244140625,-18.790321350097656
1780625915691000000,0.463,-18.45854377746582
1780625915807000000,0.579,-18.947021484375
1780625915924000000,0.696,-16.85713005065918
1780625916040000000,0.812,-18.281291961669922
1780625916157000000,0.929,-17.51069450378418
1780625916274000000,1.045999755859375,-16.462154388427734
1780625916390000000,1.162000244140625,-17.482675552368164
1780625916506000000,1.277999755859375,-17.3791446685791
1780625916623000000,1.395,-15.500431060791016
1780625916739000000,1.511,-13.85481071472168
1780625916839000000,1.611,-14.313984870910645
1780625916955000000,1.727,-8.437641143798828
1780625917072000000,1.844,-10.156806945800781
1780625917188000000,1.96,-12.883963584899902
1780625917305000000,2.077,-13.09058952331543
1780625917421000000,2.193,-14.664971351623535
1780625917538000000,2.309999755859375,-14.671357154846191
1780625917654000000,2.426000244140625,-15.980666160583496
1780625917771000000,2.543,-15.538251876831055
1780625917887000000,2.659,-13.632546424865723
1780625918004000000,2.776,-14.840062141418457
1780625918120000000,2.892,-14.573251724243164
1780625918236000000,3.008,-12.780916213989258
1780625918353000000,3.125,-9.450504302978516
1780625918469000000,3.241,-8.070052146911621
1780625918586000000,3.357999755859375,-10.694308280944824
1780625918702000000,3.474000244140625,-10.20215129852295
1780625918819000000,3.591,-8.513313293457031
1780625918935000000,3.707,-9.1956148147583
1780625919035000000,3.807,-11.676823616027832
1780625919152000000,3.924,-14.39809799194336
1780625919268000000,4.04,-16.52777671813965
1780625919385000000,4.157,-13.601334571838379
1780625919501000000,4.273,-15.241722106933594
1780625919618000000,4.389999755859375,-15.797260284423828
1780625919718000000,4.490000244140625,-12.581113815307617
1780625919834000000,4.605999755859375,-12.389274597167969
1780625919950000000,4.722000244140625,-12.659276962280273
1780625920067000000,4.839,-14.188104629516602
1780625920183000000,4.955,-11.787012100219727
1780625920300000000,5.072,-12.075748443603516
1780625920416000000,5.188,-13.464730262756348
1780625920533000000,5.305,-11.256692886352539
1780625920649000000,5.421,-11.03990364074707
1780625920766000000,5.538000244140625,-9.543614387512207
1780625920882000000,5.653999755859375,-11.853812217712402
1780625920999000000,5.771,-12.140374183654785
1780625921115000000,5.887,-12.521309852600098
1780625921232000000,6.004,-12.788847923278809
1780625921348000000,6.12,-9.781871795654297
1780625921465000000,6.237,-11.773567199707031
1780625921581000000,6.353,-10.505721092224121
1780625921698000000,6.469999755859375,-12.966504096984863
1780625921814000000,6.586000244140625,-14.518665313720703
1780625921931000000,6.703,-12.58238410949707
1780625922048000000,6.82,-13.969817161560059
1780625922164000000,6.936,-15.430418968200684
1780625922280000000,7.052,-15.478304862976074
1780625922397000000,7.169,-14.125143051147461
1780625922513000000,7.285,-8.351600646972656
1780625922630000000,7.402000244140625,-9.494660377502441
1780625922746000000,7.517999755859375,-11.33437442779541
1780625922863000000,7.635,-13.29155158996582
1780625922979000000,7.751,-15.437444686889648
1780625923096000000,7.868,-15.971054077148438
1780625923212000000,7.984,-12.954085350036621
1780625923329000000,8.101,-14.294673919677734
1780625923445000000,8.217,-14.11928939819336
1780625923562000000,8.333999755859375,-11.524115562438965
1780625923678000000,8.450000244140625,-8.207258224487305
1780625923795000000,8.567,-10.068900108337402
1780625923911000000,8.683,-12.28468132019043
1780625924028000000,8.8,-12.689173698425293
1780625924144000000,8.916,-12.220406532287598
1780625924261000000,9.033,-13.427461624145508
1780625924377000000,9.149,-15.373516082763672
1780625924494000000,9.266000244140624,-14.551727294921875
1780625924610000000,9.381999755859376,-15.836349487304688
1780625924726000000,9.498000244140625,-6.370322227478027
1780625924843000000,9.615,-7.585250377655029
1780625924959000000,9.731,-8.769617080688477
1780625925076000000,9.848,-10.939538955688477
1780625925192000000,9.964,-13.316947937011719
1780625925309000000,10.081,-12.566457748413086
1780625925425000000,10.197,-14.217939376831055
1780625925542000000,10.314000244140624,-13.808073997497559
1780625925658000000,10.429999755859376,-8.09936809539795
1780625925775000000,10.547,-10.698134422302246
1780625925891000000,10.663,-13.129045486450195
1780625926008000000,10.78,-15.188404083251953
1780625926124000000,10.896,-11.122632026672363
1780625926241000000,11.013,-13.000194549560547
1780625926357000000,11.129,-12.331917762756348
1780625926474000000,11.245999755859375,-14.23634147644043
1780625926591000000,11.363,-13.099106788635254
1780625926707000000,11.479,-14.959745407104492
1780625926823000000,11.595,-15.241189956665039
1780625926940000000,11.712,-15.143512725830078
1780625927056000000,11.828,-16.649629592895508
1780625927173000000,11.945,-18.38337516784668
1780625927289000000,12.061,-14.22885513305664
1780625927406000000,12.178000244140625,-16.251602172851562
1780625927522000000,12.293999755859375,-13.028416633605957
1780625927639000000,12.411,-13.944138526916504
1780625927755000000,12.527,-14.2927827835083
1780625927872000000,12.644,-13.306004524230957
1780625927988000000,12.76,-14.831693649291992
1780625928105000000,12.877,-15.73046588897705
1780625928221000000,12.993,-16.176570892333984
1780625928338000000,13.109999755859375,-13.302080154418945
1780625928454000000,13.226000244140625,-14.740178108215332
1780625928571000000,13.343,-13.18297290802002
1780625928687000000,13.459,-11.357840538024902
1780625928804000000,13.576,-12.101250648498535
1780625928920000000,13.692,-12.082345962524414
1780625929037000000,13.809,-13.954815864562988
1780625929153000000,13.925,-14.879732131958008
1780625929270000000,14.042000244140626,-15.164463996887207
1780625929386000000,14.157999755859375,-12.90638542175293
1780625929503000000,14.275,-12.604894638061523
1780625929619000000,14.391,-12.820423126220703
1780625929736000000,14.508,-13.75227165222168
1780625929852000000,14.624,-13.253888130187988
1780625929969000000,14.741,-13.426231384277344
1780625930085000000,14.857,-15.117509841918945
1780625930202000000,14.973999755859374,-14.917656898498535
1780625930318000000,15.090000244140626,-14.234691619873047
1780625930435000000,15.207,-11.764627456665039
1780625930551000000,15.323,-13.177202224731445
1780625930668000000,15.44,-14.113961219787598
1780625930784000000,15.556,-15.370606422424316
1780625930884000000,15.656,-16.029945373535156
1780625931000000000,15.772,-13.676633834838867
1780625931117000000,15.889,-13.78217601776123
1780625931233000000,16.005,-15.23061752319336
1780625931350000000,16.122000244140626,-16.549057006835938
1780625931466000000,16.237999755859374,-14.15230655670166
1780625931583000000,16.355,-15.365799903869629
1780625931700000000,16.472,-15.721923828125
1780625931816000000,16.588,-16.515560150146484
1780625931932000000,16.704,-16.28900718688965
1780625932049000000,16.821,-14.221970558166504
1780625932165000000,16.937,-15.415895462036133
1780625932282000000,17.053999755859376,-13.172584533691406
1780625932399000000,17.171,-13.945265769958496
1780625932515000000,17.287,-12.109757423400879
1780625932632000000,17.404,-13.731833457946777
1780625932748000000,17.52,-13.578788757324219
1780625932864000000,17.636,-13.507160186767578
1780625932981000000,17.753,-13.38920783996582
1780625933097000000,17.869,-14.53338623046875
1780625933214000000,17.986000244140627,-12.210113525390625
1780625933330000000,18.101999755859374,-10.645400047302246
1780625933447000000,18.219,-13.11323356628418
1780625933563000000,18.335,-13.388071060180664
1780625933680000000,18.452,-12.815837860107422
1780625933796000000,18.568,-12.737528800964355
1780625933913000000,18.685,-12.03436279296875
1780625934029000000,18.801,-13.818665504455566
1780625934146000000,18.917999755859373,-11.173373222351074
1780625934262000000,19.034000244140625,-9.90861988067627
1780625934379000000,19.151,-12.020359992980957
1780625934479000000,19.251,-13.835834503173828
1780625934595000000,19.367,-15.513587951660156
1780625934711000000,19.483,-14.75879192352295
1780625934828000000,19.6,-13.720012664794922
1780625934944000000,19.716,-13.704790115356445
1780625935061000000,19.833,-14.750112533569336
1780625935177000000,19.949,-10.397849082946777
1780625935294000000,20.066000244140625,-8.340360641479492
1780625935410000000,20.181999755859376,-9.667074203491211
1780625935527000000,20.299,-10.802005767822266
1780625935643000000,20.415,-11.980603218078613
1780625935760000000,20.532,-10.643479347229004
1780625935876000000,20.648,-10.44048023223877
1780625935993000000,20.765,-10.738776206970215
1780625936109000000,20.881,-11.263388633728027
1780625936226000000,20.997999755859375,-13.359735488891602
1780625936342000000,21.114000244140627,-13.006144523620605
1780625936459000000,21.231,-11.678802490234375
1780625936575000000,21.347,-12.479839324951172
1780625936692000000,21.464,-13.243000030517578
1780625936808000000,21.58,-14.583473205566406
1780625936925000000,21.697,-13.359031677246094
1780625937041000000,21.813,-9.967386245727539
1780625937157000000,21.929,-11.452720642089844
1780625937274000000,22.045999755859373,-9.984320640563965
1780625937390000000,22.162000244140625,-11.913557052612305
1780625937507000000,22.279,-5.676185607910156
1780625937623000000,22.395,-7.4447021484375
1780625937740000000,22.512,-9.919018745422363
1780625937856000000,22.628,-11.704805374145508
1780625937973000000,22.745,-9.260643005371094
1780625938089000000,22.861,-8.386112213134766
1780625938206000000,22.978000244140624,-9.467004776000977
1780625938322000000,23.093999755859375,-11.80284309387207
1780625938439000000,23.211,-8.133035659790039
1780625938555000000,23.327,-9.626784324645996
1780625938672000000,23.444,-3.970432758331299
1780625938788000000,23.56,-6.360265254974365
1780625938905000000,23.677,-8.71395206451416
1780625939021000000,23.793,-8.234522819519043
1780625939138000000,23.909999755859374,-5.482686519622803
1780625939254000000,24.026000244140626,-8.820758819580078
1780625939371000000,24.143,-10.632439613342285
1780625939487000000,24.259,-12.641834259033203
1780625939604000000,24.376,-14.599209785461426
1780625939720000000,24.492,-14.244538307189941
1780625939837000000,24.609,-13.888604164123535
1780625939953000000,24.725,-13.721912384033203
1780625940070000000,24.842000244140625,-12.941023826599121
1780625940186000000,24.957999755859376,-14.362210273742676
1780625940303000000,25.075,-13.003373146057129
1780625940419000000,25.191,-14.993911743164062
1780625940536000000,25.308,-14.113858222961426
1780625940652000000,25.424,-14.933184623718262
1780625940769000000,25.541,-13.131686210632324
1780625940885000000,25.657,-12.637267112731934
1780625941002000000,25.773999755859375,-12.901241302490234
1780625941118000000,25.890000244140627,-13.697735786437988
1780625941235000000,26.007,-11.788540840148926
1780625941388000000,26.16,-15.10676097869873
1780625941509000000,26.281,-14.701895713806152
1780625941612000000,26.384,-12.700562477111816
1780625941713000000,26.485,-13.67204761505127
1780625941818000000,26.589999755859374,-14.240376472473145
1780625941921000000,26.693,-15.256497383117676
1780625942021000000,26.793,-13.56962776184082
1780625942124000000,26.896,-14.775218963623047
1780625942229000000,27.001,-13.399258613586426
1780625942334000000,27.106000244140624,-14.668245315551758
1780625942436000000,27.208,-16.127357482910156
1780625942541000000,27.313,-13.658287048339844
1780625942643000000,27.415,-15.258773803710938
1780625942747000000,27.519,-17.203224182128906
1780625942853000000,27.625,-16.382537841796875
1780625942956000000,27.728,-14.780779838562012
1780625943061000000,27.833,-15.931231498718262
1780625943166000000,27.938000244140625,-16.638029098510742
1780625943271000000,28.043,-17.651533126831055
1780625943376000000,28.148,-18.26700782775879
1780625943482000000,28.253999755859375,-14.345824241638184
1780625943587000000,28.359,-15.406416893005371
1780625943692000000,28.464,-13.917220115661621
1780625943793000000,28.565,-12.61591625213623
1780625943897000000,28.669,-13.928374290466309
1780625944000000000,28.772,-14.351258277893066
1780625944103000000,28.875,-14.254265785217285
1780625944206000000,28.978000244140624,-15.094002723693848
1780625944311000000,29.083,-15.269383430480957
1780625944416000000,29.188,-12.927671432495117
1780625944522000000,29.293999755859375,-14.474884986877441
1780625944627000000,29.399,-15.516101837158203
1780625944729000000,29.501,-15.236708641052246
1780625944833000000,29.605,-16.19066619873047
1780625944933000000,29.705,-14.872910499572754
1780625945038000000,29.810000244140625,-10.860483169555664
1780625945143000000,29.915,-9.784571647644043
1780625945248000000,30.02,-12.07310676574707
1780625945353000000,30.125,-13.142420768737793
1780625945459000000,30.231,-12.4752836227417
1780625945564000000,30.336,-3.208672523498535
1780625945669000000,30.441,-6.213958740234375
1780625945774000000,30.546000244140625,-3.5001742839813232
1780625945879000000,30.651,-6.84067964553833
1780625945982000000,30.754000244140624,-2.2259063720703125
1780625946087000000,30.859,-5.478614330291748
1780625946192000000,30.964,-9.34177303314209
1780625946297000000,31.069,-11.373909950256348
1780625946399000000,31.171,-12.007865905761719
1780625946504000000,31.276,-10.186553001403809
1780625946609000000,31.381,-12.794936180114746
1780625946710000000,31.482000244140625,-6.659635066986084
1780625946815000000,31.587,-9.789912223815918
1780625946920000000,31.692,-11.336111068725586
1780625947025000000,31.797,-13.514426231384277
1780625947130000000,31.901999755859375,-14.865373611450195
1780625947236000000,32.008,-11.843106269836426
1780625947341000000,32.113,-13.751213073730469
1780625947446000000,32.218000244140626,-12.739774703979492
1780625947546000000,32.317999755859375,-13.972827911376953
1780625947646000000,32.41800024414062,-14.860076904296875
1780625947750000000,32.52200024414063,-16.108186721801758
1780625947855000000,32.627,-4.607561111450195
1780625947960000000,32.732,-7.543463230133057
1780625948065000000,32.837,-9.796517372131348
1780625948167000000,32.939,-8.589794158935547
1780625948272000000,33.044,-8.29570484161377
1780625948374000000,33.14600024414062,-9.794562339782715
1780625948479000000,33.251,-5.805114269256592
1780625948584000000,33.356,-4.27285099029541
1780625948689000000,33.461,-4.904503345489502
1780625948793000000,33.565,-7.967038631439209
1780625948898000000,33.66999975585937,-9.98843765258789
1780625949003000000,33.775,-12.676909446716309
1780625949108000000,33.88,-10.136747360229492
1780625949212000000,33.984,-12.007349014282227
1780625949317000000,34.089,-14.576702117919922
1780625949422000000,34.194000244140625,-16.28180694580078
1780625949527000000,34.299,-17.687543869018555
1780625949632000000,34.404,-17.365873336791992
1780625949734000000,34.50600024414062,-15.62790298461914
1780625949839000000,34.611,-17.487821578979492
1780625949944000000,34.716,-18.71674919128418
1780625950050000000,34.82199975585937,-20.334260940551758
1780625950150000000,34.92200024414063,-20.693038940429688
1780625950255000000,35.027,-20.194746017456055
1780625950360000000,35.132,-22.004230499267578
1780625950497000000,35.269,-21.6676025390625
1780625950597000000,35.369,-21.217788696289062
1780625950709000000,35.481,-20.62025260925293
1780625950825000000,35.597,-21.696331024169922
1780625950942000000,35.71400024414063,-19.69104766845703
1780625951058000000,35.829999755859376,-17.54186248779297
1780625951175000000,35.947,-16.191593170166016
1780625951292000000,36.064,-17.57108497619629
1780625951408000000,36.18,-16.200923919677734
1780625951525000000,36.297,-17.333349227905273
1780625951642000000,36.41399975585937,-18.4029598236084
